국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,1.8,83.6,103987,331002651,34419838,13779,5034868,-42709,3942,-15,617463,+297,28767507,+56191
인도🇮🇳,1.3,96.5,21723,1380004385,29977861,12569,662521,-18767,8944,,389302,+474,28926038,+30862
브라질🇧🇷,2.8,90.6,84540,212559417,17969806,41878,1178597,-27175,8318,,502817,+899,16288392,+68154
프랑스🇫🇷,1.9,96.7,88210,65273511,5757798,487,80626,-9361,1655,-48,110778,+40,5566394,+9808
터키🇹🇷,0.9,97.4,63738,84339067,5375593,5294,88626,+150,808,-5,49236,+51,5237731,+5093
러시아🇷🇺,2.4,91.4,36667,145934462,5350919,16715,331122,+5052,2300,,130347,+546,4889450,+11117
영국🇬🇧,2.8,92.7,68357,67886011,4640507,10467,208530,+8451,223,+13,127981,+5,4303996,+2011
아르헨티나🇦🇷,2.1,91.4,94641,45195774,4277395,8606,277070,-12463,7345,-21,89490,+447,3910835,+20622
이탈리아🇮🇹,3.0,95.2,70350,60461826,4253460,484,76853,-10857,385,-4,127291,+21,4049316,+11320
콜롬비아🇨🇴,2.5,92.9,77991,50882891,3968405,23239,181876,+3805,8155,,100582,+648,3685947,+18786
스페인🇪🇸,2.1,94.6,80519,46754778,3764651,7209,123928,-8657,793,,80689,+37,3560034,+15829
독일🇩🇪,2.4,96.7,44526,83783942,3730599,353,31492,-2584,889,-321,91007,+37,3608100,+2900
이란🇮🇷,2.7,88.9,37114,83992949,3117336,11716,262414,+124,3249,-9,83217,+116,2771705,+11476
폴란드🇵🇱,2.6,92.1,76071,37846611,2879030,190,153399,+36,224,-18,74858,+29,2650773,+125
멕시코🇲🇽,9.3,79.7,19224,128932753,2478551,1268,273052,-1574,4798,,231244,+57,1974255,+2785
우크라이나🇺🇦,2.3,96.5,50994,43733762,2230142,296,25120,-554,177,,52053,+21,2152969,+829
페루🇵🇪,9.4,N/A,61586,32971854,2030611,986,N/A,,2528,+7,190645,+220,N/A,
인도네시아🇮🇩,2.7,89.7,7378,273523615,2018113,13668,152686,+4958,N/A,,55291,+335,1810136,+8375
남아프리카 공화국🇿🇦,3.2,90.4,30897,59308690,1832479,9160,117004,-110,546,,58795,+93,1656680,+9177
네덜란드🇳🇱,1.1,N/A,98019,17134872,1679542,,N/A,,193,,17727,,N/A,
체코🇨🇿,1.8,98.0,155588,10708981,1666192,110,2427,-213,10,+2,30283,+3,1633482,+320
칠레🇨🇱,2.1,95.4,79630,19116201,1522223,5205,38470,-1332,3236,+6,31645,+132,1452108,+6405
캐나다🇨🇦,1.9,97.4,37348,37742154,1409607,771,11032,-728,535,-32,26084,+8,1372491,+1491
필리핀🇵🇭,1.7,94.4,12483,109581078,1367894,3655,52696,-3151,2029,,23809,+60,1291389,+6746
이라크🇮🇶,1.3,93.2,32139,40222493,1292700,,70911,,539,,16910,,1204879,
스웨덴🇸🇪,1.3,N/A,107732,10099265,1088014,3378,N/A,,73,+2,14570,+33,N/A,
