국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
브라질🇧🇷,2.8,90.6,84540,212559417,17969806,41878.0,1178597,-27175,8318,,502817,+899,16288392,+68154
콜롬비아🇨🇴,2.5,92.9,77991,50882891,3968405,23239.0,181876,+3805,8155,,100582,+648,3685947,+18786
러시아🇷🇺,2.4,91.4,36667,145934462,5350919,16715.0,331122,+5052,2300,,130347,+546,4889450,+11117
미국🇺🇸,1.8,83.6,103987,331002651,34419838,13779.0,5034868,-42709,3942,-15,617463,+297,28767507,+56191
인도네시아🇮🇩,2.7,89.7,7378,273523615,2018113,13668.0,152686,+4958,N/A,,55291,+335,1810136,+8375
인도🇮🇳,1.3,96.5,21723,1380004385,29977861,12569.0,662521,-18767,8944,,389302,+474,28926038,+30862
이란🇮🇷,2.7,88.9,37114,83992949,3117336,11716.0,262414,+124,3249,-9,83217,+116,2771705,+11476
영국🇬🇧,2.8,92.7,68357,67886011,4640507,10467.0,208530,+8451,223,+13,127981,+5,4303996,+2011
남아프리카 공화국🇿🇦,3.2,90.4,30897,59308690,1832479,9160.0,117004,-110,546,,58795,+93,1656680,+9177
아르헨티나🇦🇷,2.1,91.4,94641,45195774,4277395,8606.0,277070,-12463,7345,-21,89490,+447,3910835,+20622
