국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,1.8,83.4,103987,331002651,34406059,4219,5077577,-12311,3957,-38,617166,+75,28711316,+16455
인도🇮🇳,1.3,96.4,21723,1380004385,29965292,54052,681288,-44081,8944,,388828,+1667,28895176,+96466
브라질🇧🇷,2.8,90.5,84540,212559417,17927928,44178,1205772,+6739,8318,,501918,+1050,16220238,+36389
프랑스🇫🇷,1.9,96.5,88210,65273511,5757311,1815,89987,+604,1703,,110738,+14,5556586,+1197
터키🇹🇷,0.9,97.4,63738,84339067,5370299,5091,88476,+809,813,-16,49185,+63,5232638,+4219
러시아🇷🇺,2.4,91.5,36667,145934462,5334204,17378,326070,+8577,2300,,129801,+440,4878333,+8361
영국🇬🇧,2.8,92.9,68357,67886011,4630040,9072,200079,+6916,210,,127976,+6,4301985,+2150
아르헨티나🇦🇷,2.1,91.1,94641,45195774,4268789,10395,289533,-12014,7366,-20,89043,+301,3890213,+22108
이탈리아🇮🇹,3.0,94.9,70350,60461826,4252976,881,87710,-1440,389,-5,127270,+17,4037996,+2304
콜롬비아🇨🇴,2.5,93.0,77991,50882891,3945166,27818,178071,+4345,8155,,99934,+599,3667161,+22874
스페인🇪🇸,2.1,94.3,80519,46754778,3757442,,132585,,793,,80652,,3544205,
독일🇩🇪,2.4,96.6,44526,83783942,3730246,493,34076,-1723,1210,,90970,+16,3605200,+2200
이란🇮🇷,2.7,88.9,37114,83992949,3105620,10485,262290,-1560,3258,-21,83101,+136,2760229,+11909
폴란드🇵🇱,2.6,92.1,76071,37846611,2878840,73,153363,-100,242,+4,74829,+1,2650648,+172
멕시코🇲🇽,9.3,79.6,19224,128932753,2477283,1578,274626,-791,4798,,231187,+36,1971470,+2333
우크라이나🇺🇦,2.3,96.5,50994,43733762,2229846,323,25674,-370,177,,52032,+16,2152140,+677
페루🇵🇪,9.4,N/A,61586,32971854,2029625,2896,N/A,,2521,+6,190425,+223,N/A,
인도네시아🇮🇩,2.7,89.9,7378,273523615,2004445,14536,147728,+5009,N/A,,54956,+294,1801761,+9233
