국가,ISO3,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일,Country,CPI score 2020
미국🇺🇸,USA,1.8,83.6,104032,331002651,34419981,13922.0,5034090.0,-43487.0,3939.0,-18.0,617483,317.0,28768408.0,57092.0,United States of America,67
인도🇮🇳,IND,1.3,96.5,21760,1380004385,30002691,37399.0,662304.0,-18984.0,8944.0,,389661,833.0,28950726.0,55550.0,India,40
브라질🇧🇷,BRA,2.8,90.6,84949,212559417,17969806,41878.0,1178597.0,-27175.0,8318.0,,502817,899.0,16288392.0,68154.0,Brazil,38
프랑스🇫🇷,FRA,1.9,96.7,88244,65273511,5757798,487.0,80626.0,-9361.0,1655.0,-48.0,110778,40.0,5566394.0,9808.0,France,69
터키🇹🇷,TUR,0.9,97.4,63811,84339067,5375593,5294.0,88626.0,150.0,808.0,-5.0,49236,51.0,5237731.0,5093.0,Turkey,40
러시아🇷🇺,RUS,2.4,91.4,36787,145934462,5350919,16715.0,331122.0,5052.0,2300.0,,130347,546.0,4889450.0,11117.0,Russia,30
영국🇬🇧,GBR,2.8,92.7,68526,67886011,4640507,10467.0,208530.0,8451.0,223.0,13.0,127981,5.0,4303996.0,2011.0,United Kingdom,77
아르헨티나🇦🇷,ARG,2.1,91.4,95115,45195774,4277395,8606.0,277070.0,-12463.0,7345.0,-21.0,89490,447.0,3910835.0,20622.0,Argentina,42
이탈리아🇮🇹,ITA,3.0,95.2,70363,60461826,4253460,484.0,76853.0,-10857.0,385.0,-4.0,127291,21.0,4049316.0,11320.0,Italy,53
콜롬비아🇨🇴,COL,2.5,92.9,78553,50882891,3968405,23239.0,181876.0,3805.0,8155.0,,100582,648.0,3685947.0,18786.0,Colombia,39
스페인🇪🇸,ESP,2.1,94.6,80605,46754778,3764651,7209.0,123928.0,-8657.0,793.0,,80689,37.0,3560034.0,15829.0,Spain,62
독일🇩🇪,DEU,2.4,96.7,44535,83783942,3730774,528.0,31649.0,-2427.0,889.0,-321.0,91025,55.0,3608100.0,2900.0,Germany,80
이란🇮🇷,IRN,2.7,88.9,37246,83992949,3117336,11716.0,262414.0,124.0,3249.0,-9.0,83217,116.0,2771705.0,11476.0,Iran,25
폴란드🇵🇱,POL,2.6,92.1,76075,37846611,2879030,190.0,153399.0,36.0,224.0,-18.0,74858,29.0,2650773.0,125.0,Poland,56
멕시코🇲🇽,MEX,9.3,79.7,19256,128932753,2478551,1268.0,273052.0,-1574.0,4798.0,,231244,57.0,1974255.0,2785.0,Mexico,31
우크라이나🇺🇦,UKR,2.3,96.5,51013,43733762,2230142,296.0,25120.0,-554.0,177.0,,52053,21.0,2152969.0,829.0,Ukraine,33
페루🇵🇪,PER,9.4,,61677,32971854,2030611,986.0,,,2528.0,7.0,190645,220.0,,,Peru,38
인도네시아🇮🇩,IDN,2.7,89.7,7434,273523615,2018113,13668.0,152686.0,4958.0,,,55291,335.0,1810136.0,8375.0,Indonesia,37
남아프리카 공화국🇿🇦,ZAF,3.2,90.4,31084,59308690,1832479,9160.0,117004.0,-110.0,546.0,,58795,93.0,1656680.0,9177.0,South Africa,44
네덜란드🇳🇱,NLD,1.1,,98097,17134872,1680228,686.0,,,185.0,-8.0,17730,3.0,,,Netherlands,82
체코🇨🇿,CZE,1.8,98.0,155601,10708981,1666192,110.0,2427.0,-213.0,10.0,2.0,30283,3.0,1633482.0,320.0,Czechia,54
칠레🇨🇱,CHL,2.1,95.4,79810,19116201,1522223,5205.0,38470.0,-1332.0,3236.0,6.0,31645,132.0,1452108.0,6405.0,Chile,67
캐나다🇨🇦,CAN,1.9,97.4,37364,37742154,1409607,771.0,11032.0,-728.0,535.0,-32.0,26084,8.0,1372491.0,1491.0,Canada,77
필리핀🇵🇭,PHL,1.7,94.4,12523,109581078,1367894,3655.0,52696.0,-3151.0,2029.0,,23809,60.0,1291389.0,6746.0,Philippines,34
이라크🇮🇶,IRQ,1.3,93.2,32445,40222493,1298703,6003.0,71850.0,939.0,564.0,25.0,16935,25.0,1209918.0,5039.0,Iraq,21
스웨덴🇸🇪,SWE,1.3,,107782,10099265,1088014,3378.0,,,73.0,2.0,14570,33.0,,,Sweden,85
루마니아🇷🇴,ROU,3.0,96.8,56160,19237691,1080323,41.0,2555.0,-129.0,151.0,-7.0,32465,74.0,1045303.0,96.0,Romania,44
벨기에🇧🇪,BEL,2.3,94.2,93190,11589623,1079640,225.0,37925.0,220.0,204.0,-8.0,25141,5.0,1016574.0,,Belgium,76
파키스탄🇵🇰,PAK,2.3,94.2,4304,220892340,949838,663.0,33452.0,-568.0,2179.0,-59.0,22034,27.0,894352.0,1204.0,Pakistan,31
포르투갈🇵🇹,PRT,2.0,94.8,85010,10196709,866826,1776.0,28378.0,81.0,101.0,4.0,17074,9.0,821374.0,1686.0,Portugal,61
방글라데시🇧🇩,BGD,1.6,91.6,5264,164689383,861150,4846.0,59063.0,1867.0,1183.0,-34.0,13702,76.0,788385.0,2903.0,Bangladesh,26
이스라엘🇮🇱,ISR,0.8,99.2,97067,8655535,840032,165.0,434.0,56.0,25.0,1.0,6428,,833170.0,109.0,Israel,60
헝가리🇭🇺,HUN,3.7,91.1,83618,9660351,807684,54.0,41784.0,-313.0,32.0,-5.0,29963,4.0,735937.0,363.0,Hungary,44
일본🇯🇵*,JPN,1.8,95.3,6214,126476461,785969,,22248.0,,718.0,,14439,,749282.0,,Japan,74
요르단🇯🇴,JOR,1.3,97.8,73262,10203134,747000,520.0,6498.0,-135.0,470.0,,9671,9.0,730831.0,646.0,Jordan,49
세르비아🇷🇸,SRB,1.0,98.6,81949,8737371,715913,72.0,2700.0,-149.0,18.0,-3.0,7010,6.0,706203.0,215.0,Serbia,38
말레이시아🇲🇾,MYS,0.6,90.6,21968,32365999,705762,4743.0,62027.0,-891.0,875.0,-5.0,4554,77.0,639181.0,5557.0,Malaysia,51
스위스🇨🇭,CHE,1.5,96.3,81145,8654622,702124,130.0,14757.0,127.0,59.0,-5.0,10875,3.0,676492.0,,Switzerland,85
오스트리아🇦🇹,AUT,1.6,98.0,72154,9006398,649728,58.0,2521.0,-104.0,76.0,-4.0,10684,4.0,636523.0,158.0,Austria,76
네팔🇳🇵,NPL,1.4,90.2,21548,29136808,626343,3703.0,52648.0,-1292.0,,,8813,41.0,564882.0,4954.0,Nepal,33
아랍에미레이트🇦🇪,ARE,0.3,96.6,62500,9890402,613993,,19246.0,,,,1763,,592984.0,,United Arab Emirates,71
레바논🇱🇧,LBN,1.4,97.6,79658,6825445,543551,46.0,5333.0,-732.0,67.0,,7825,3.0,530393.0,775.0,Lebanon,25
모로코🇲🇦,MAR,1.8,97.6,14282,36910560,526737,86.0,3595.0,-137.0,107.0,,9244,6.0,513898.0,217.0,Morocco,40
사우디아라비아🇸🇦,SAU,1.6,96.2,13734,34813871,475403,,10584.0,,1489.0,,7691,,457128.0,,Saudi Arabia,53
에콰도르🇪🇨,ECU,4.8,93.0,25346,17643054,446633,192.0,9821.0,181.0,453.0,-3.0,21304,11.0,415508.0,,Ecuador,39
볼리비아🇧🇴,BOL,3.8,80.6,36364,11673021,422811,764.0,65678.0,-1133.0,200.0,,16174,42.0,340959.0,1855.0,Bolivia,31
불가리아🇧🇬,BGR,4.3,93.4,60624,6948445,421152,120.0,9966.0,-260.0,200.0,-7.0,18000,10.0,393186.0,370.0,Bulgaria,44
